"ENTITY_CD","ENTITY_NAME","YEAR","PK12 Enrollment","SWD Enrollment","Special Education Expenditures","Special Education Expenditures/Pupil","Total Expenditures","General Education Expenditures","General Education Expenditures/Pupil"
"010615020000","MENANDS UNION FREE SCHOOL DISTRICT","2020-21",307,40,619135,15478.375,5563541.14,4944406.14,16105.5574592834
"010615020000","MENANDS UNION FREE SCHOOL DISTRICT","2021-22",305,44,714946,16248.7727272727,6487021,5772075,18924.8360655738
"010615020000","MENANDS UFSD","2022-23",277,42,741059,17644.2619047619,7347943,6606884,23851.5667870036
"010615020000","MENANDS UNION FREE SCHOOL DISTRICT","2023-24",275,36,1206876.94,33524.3594444444,8337592.42,7130715.48,25929.8744727273
"010615020000","MENANDS UFSD","2024-25",282,49,1735210.76,35412.4644897959,9326590.86,7591380.1,26919.7875886525
"010623060000","NORTH COLONIE CSD","2018-19",5831,802,12642008,15763.102244389,96253399,83611391,14339.1169610701
"010623060000","NORTH COLONIE CSD","2019-20",5887,817,12756901,15614.3219094247,96418926,83662025,14211.3173093256
"010623060000","NORTH COLONIE CSD","2020-21",5905,848,12929171,15246.6639150943,97163709.76,84234538.76,14264.9515258256
"010623060000","NORTH COLONIE CSD","2021-22",6006,871,13575456,15586.0574052813,107194202,93618746,15587.5367965368
"010623060000","NORTH COLONIE CSD","2022-23",6022,882,15024594,17034.6870748299,112189043,97164449,16134.9134838924
"010623060000","NORTH COLONIE CSD","2023-24",6212,873,18044089,20669.0595647194,132854197,114810108,18481.9877656149
"010623060000","NORTH COLONIE CSD","2024-25",6144,888,19162343,21579.2150900901,139658681,120496338,19612.0341796875
"010701030000","GREEN ISLAND UNION FREE SCHOOL DISTRICT","2018-19",284,56,691519,12348.5535714286,5754894.82,5063375.82,17828.7880985916
"010701030000","GREEN ISLAND UNION FREE SCHOOL DISTRICT","2019-20",263,57,838443,14709.5263157895,6177101.5,5338658.5,20299.0817490494
"010701030000","GREEN ISLAND UNION FREE SCHOOL DISTRICT","2020-21",241,50,767997.2,15359.944,5858347.46,5090350.26,21121.7853112033
"010701030000","GREEN ISLAND UNION FREE SCHOOL DISTRICT","2021-22",282,58,805989,13896.3620689655,7074233,6268244,22227.8156028369
"010701030000","GREEN ISLAND UFSD","2022-23",271,52,839998,16153.8076923077,7767377,6927379,25562.2841328413
"010701030000","GREEN ISLAND UNION FREE SCHOOL DISTRICT","2023-24",249,49,1293085,26389.4897959184,8903938,7610853,30565.6746987952
"010701030000","GREEN ISLAND UFSD","2024-25",223,43,1145256.36,26633.8688372093,8079910,6934653.64,31097.1015246637
"010802060000","GUILDERLAND CENTRAL SCHOOL DISTRICT","2018-19",4807,631,8164448,12938.9033280507,85475423,77310975,16082.9987518203
"010802060000","GUILDERLAND CENTRAL SCHOOL DISTRICT","2019-20",4841,605,13120971,21687.5553719008,85656470,72535499,14983.5775666185
"010802060000","GUILDERLAND CENTRAL SCHOOL DISTRICT","2020-21",4811,609,13094701,21501.9720853859,86345634,73250933,15225.7187694866
"010802060000","GUILDERLAND CENTRAL SCHOOL DISTRICT","2021-22",4828,598,13544305,22649.3394648829,91138355,77594050,16071.6756420878
"010802060000","GUILDERLAND CSD","2022-23",4853,615,9610805,15627.325203252,96129903,86519098,17827.9616731918
"010802060000","GUILDERLAND CENTRAL SCHOOL DISTRICT","2023-24",4929,600,14328581,23880.9683333333,114640403,100311822,20351.3536214242
"010802060000","GUILDERLAND CSD","2024-25",4821,621,15443172,24868.231884058,113657474,98214302,20372.1846090023
"011003060000","VOORHEESVILLE CENTRAL SCHOOL DISTRICT","2018-19",1160,131,1515111.05,11565.7332061069,23048210.97,21533099.92,18563.0171724138
"011003060000","VOORHEESVILLE CENTRAL SCHOOL DISTRICT","2019-20",1180,132,2292245,17365.4924242424,20711954.01,18419709.01,15609.9228898305
