"ENTITY_CD","ENTITY_NAME","YEAR","PK12_Enrollment","SWD_Enrollment","Special_Education_Expenditures","Special_Education_Expenditures_PerSWD","Total_Expenditures","General_Education_Expenditures","General_Education_Expenditures_PerPupil","Special_Education_Expenditures_PerPupil"
"010615020000","MENANDS UFSD",2023,277,42,741059,17644.2619047619,7347943,6606884,23851.5667870036,2675.30324909747
"010615020000","MENANDS UFSD ",2024,275,36,1206876.94,33524.3594444444,8337592.42,7130715.48,25929.8744727273,4388.64341818182
"010615020000","MENANDS UFSD",2025,282,49,1735210.76,35412.4644897959,9326590.86,7591380.1,26919.7875886525,6153.22964539007
"010623060000","NORTH COLONIE CSD",2019,5831,802,12642008,15763.102244389,96253399,83611391,14339.1169610701,2168.06859886812
"010623060000","NORTH COLONIE CSD",2020,5887,817,12756901,15614.3219094247,96418926,83662025,14211.3173093256,2166.96127059623
"010623060000","NORTH COLONIE CSD",2021,5905,848,12929171,15246.6639150943,97163709.76,84234538.76,14264.9515258256,2189.52938187976
"010623060000","NORTH COLONIE CSD",2022,6006,871,13575456,15586.0574052813,107194202,93618746,15587.5367965368,2260.31568431568
"010623060000","NORTH COLONIE CSD",2023,6022,882,15024594,17034.6870748299,112189043,97164449,16134.9134838924,2494.95084689472
"010623060000","NORTH COLONIE CSD",2024,6212,873,18044089,20669.0595647194,132854197,114810108,18481.9877656149,2904.71490663232
"010623060000","NORTH COLONIE CSD",2025,6144,888,19162343,21579.2150900901,139658681,120496338,19612.0341796875,3118.87093098958
"010701030000","GREEN ISLAND UFSD ",2019,284,56,691519,12348.5535714286,5754894.82,5063375.82,17828.7880985916,2434.92605633803
"010701030000","GREEN ISLAND UFSD ",2020,263,57,838443,14709.5263157895,6177101.5,5338658.5,20299.0817490494,3187.99619771863
"010701030000","GREEN ISLAND UFSD ",2021,241,50,767997.2,15359.944,5858347.46,5090350.26,21121.7853112033,3186.71037344398
"010701030000","GREEN ISLAND UFSD ",2022,282,58,805989,13896.3620689655,7074233,6268244,22227.8156028369,2858.1170212766
"010701030000","GREEN ISLAND UFSD",2023,271,52,839998,16153.8076923077,7767377,6927379,25562.2841328413,3099.62361623616
"010701030000","GREEN ISLAND UFSD ",2024,249,49,1293085,26389.4897959184,8903938,7610853,30565.6746987952,5193.1124497992
"010701030000","GREEN ISLAND UFSD",2025,223,43,1145256.36,26633.8688372093,8079910,6934653.64,31097.1015246637,5135.67874439462
"010802060000","GUILDERLAND CSD",2019,4807,631,8164448,12938.9033280507,85475423,77310975,16082.9987518203,1698.44976076555
"010802060000","GUILDERLAND CSD",2020,4841,605,13120971,21687.5553719008,85656470,72535499,14983.5775666185,2710.38442470564
"010802060000","GUILDERLAND CSD",2021,4811,609,13094701,21501.9720853859,86345634,73250933,15225.7187694866,2721.82519226772
"010802060000","GUILDERLAND CSD",2022,4828,598,13544305,22649.3394648829,91138355,77594050,16071.6756420878,2805.36557580779
"010802060000","GUILDERLAND CSD",2023,4853,615,9610805,15627.325203252,96129903,86519098,17827.9616731918,1980.38429837214
"010802060000","GUILDERLAND CSD",2024,4929,600,14328581,23880.9683333333,114640403,100311822,20351.3536214242,2906.99553662
"010802060000","GUILDERLAND CSD",2025,4821,621,15443172,24868.231884058,113657474,98214302,20372.1846090023,3203.3130056005
"011003060000","VOORHEESVILLE CSD",2019,1160,131,1515111.05,11565.7332061069,23048210.97,21533099.92,18563.0171724138,1306.13021551724
"011003060000","VOORHEESVILLE CSD",2020,1180,132,2292245,17365.4924242424,20711954.01,18419709.01,15609.9228898305,1942.58050847458
"011003060000","VOORHEESVILLE CSD",2021,1179,128,3109654,24294.171875,21970454,18860800,15997.2858354538,2637.53519932146
"011003060000","VOORHEESVILLE CSD",2022,1204,129,2898848,22471.6899224806,26627876,23729028,19708.4950166113,2407.68106312292
"011003060000","VOORHEESVILLE CSD",2023,1232,138,2658951,19267.7608695652,25234477,22575526,18324.2905844156,2158.23944805195
"011003060000","VOORHEESVILLE CSD",2024,1223,136,3639314,26759.6617647059,28526641,24887327,20349.4088307441,2975.72690106296
"011003060000","VOORHEESVILLE CSD",2025,1215,139,4079877.07,29351.6335971223,29952968.71,25873091.64,21294.7256296296,3357.92351440329
"011200010000","WATERVLIET CITY SD",2019,1342,174,275386,1582.67816091954,17267531,16992145,12661.8070044709,205.20566318927
"011200010000","WATERVLIET CITY SD",2020,1296,193,5035641,26091.4041450777,17771901,12736260,9827.36111111111,3885.52546296296
"011200010000","WATERVLIET CITY SD",2021,1334,207,5392474,26050.5990338164,17800466,12407992,9301.34332833583,4042.33433283358
"011200010000","WATERVLIET CITY SD",2022,1303,221,6000856,27153.1945701357,20289505,14288649,10965.9623944743,4605.41519570223
"011200010000","WATERVLIET CITY SD",2023,1344,213,6023653,28280.0610328639,22541067,16517414,12289.7425595238,4481.88467261905
"011200010000","WATERVLIET CITY SD",2024,1477,248,5548316,22372.2419354839,36025758,30477442,20634.6932972241,3756.47664184157
"011200010000","WATERVLIET CITY SD",2025,1447,238,6134712,25776.1008403361,36072305,29937593,20689.4215618521,4239.60746371804
"020101040000","ALFRED-ALMOND CSD",2019,622,86,1579090,18361.511627907,11450273.88,9871183.88,15870.0705466238,2538.72990353698
"020101040000","ALFRED-ALMOND CSD",2020,619,76,1095353,14412.5394736842,11427456,10332103,16691.6042003231,1769.55250403877
"020101040000","ALFRED-ALMOND CSD",2021,575,69,1090204,15800.0579710145,11180248,10090044,17547.9026086957,1896.00695652174
"020101040000","ALFRED-ALMOND CSD",2022,576,77,768332,9978.33766233766,11694286,10925954,18968.6701388889,1333.90972222222
"020101040000","ALFRED-ALMOND CSD",2023,551,85,838440.74,9864.00870588235,13255508.1,12417067.36,22535.5124500907,1521.67103448276
"020101040000","ALFRED-ALMOND CSD",2024,510,80,2018626.14,25232.82675,14291229.78,12272603.64,24063.9287058824,3958.09047058823
"020101040000","ALFRED-ALMOND CSD",2025,489,70,2151704.87,30738.641,15340992.96,13189288.09,26971.9592842536,4400.21445807771
"020601040000","ANDOVER CSD",2019,302,55,577460,10499.2727272727,7580320,7002860,23188.2781456954,1912.11920529801
"020601040000","ANDOVER CSD",2020,294,47,862110,18342.7659574468,7137611,6275501,21345.2414965986,2932.34693877551
"020601040000","ANDOVER CSD",2021,258,44,1453222,33027.7727272727,7119291,5666069,21961.507751938,5632.64341085271
"020601040000","ANDOVER CSD",2022,268,45,875133,19447.4,7769252,6894119,25724.3246268657,3265.42164179104
"020601040000","ANDOVER CSD",2023,249,39,661392,16958.7692307692,8815409,8154017,32747.0562248996,2656.19277108434
"020601040000","ANDOVER CSD",2024,255,41,1509142,36808.3414634146,9168531,7659389,30036.8196078431,5918.20392156863
"020601040000","ANDOVER CSD",2025,240,39,1518471,38935.1538461538,9267195,7748724,32286.35,6326.9625
"020702040000","GENESEE VALLEY CSD",2019,506,78,1345156,17245.5897435897,12690344,11345188,22421.3201581028,2658.41106719368
"020702040000","GENESEE VALLEY CSD",2020,536,96,1587247.64,16533.8295833333,12862393.07,11275145.43,21035.7190858209,2961.28291044776
"020702040000","GENESEE VALLEY CSD",2021,525,85,1608497,18923.4941176471,13115818,11507321,21918.7066666667,3063.80380952381
