ENTITY_CD	ENTITY_NAME	YEAR	PK12_Enrollment	SWD_Enrollment	Special_Education_Expenditures	Special_Education_Expenditures_PerSWD	Total_Expenditures	General_Education_Expenditures	General_Education_Expenditures_PerPupil	Special_Education_Expenditures_PerPupil
51101040000	PORT BYRON CSD	2024	785	134	999103.87	7455.99903	22112292.44	21113188.57	26895.78162	1272.743783
51101040000	PORT BYRON CSD	2025	792	120	3211021.28	26758.51067	23009002.03	19797980.75	24997.45044	4054.319798
51301040000	MORAVIA CSD	2019	948	142	1552462.81	10932.83669	12826811.24	11274348.43	11892.77261	1637.618998
51301040000	MORAVIA CSD	2020	907	138	3459244.18	25066.98681	16371458.11	12912213.93	14236.17853	3813.940662
51301040000	MORAVIA CSD	2021	871	135	2035658	15078.94815	17357503	15321845	17591.09644	2337.150402
51301040000	MORAVIA CSD	2022	870	129	1427555	11066.31783	17604783	16177228	18594.51494	1640.867816
51301040000	MORAVIA CSD	2023	863	137	1656175.96	12088.87562	20305918.92	18649742.96	21610.36264	1919.091495
51301040000	MORAVIA CSD	2024	860	125	5001185	40009.48	26066867	21065682	24494.97907	5815.331395
51301040000	MORAVIA CSD	2025	850	123	4911506	39930.94309	25899172	20987666	24691.37176	5778.242353
51901040000	UNION SPRINGS CSD	2019	823	95	697471.03	7341.800316	15583019.64	14885548.61	18086.93634	847.4739125
51901040000	UNION SPRINGS CSD	2020	823	101	262823.07	2602.208614	15498698.82	15235875.75	18512.60723	319.3475942
51901040000	UNION SPRINGS CSD	2021	775	76	711949.91	9367.761974	14593233.77	13881283.86	17911.33401	918.6450452
51901040000	UNION SPRINGS CSD	2022	757	70	683844	9769.2	15360845	14677001	19388.37649	903.3606341
51901040000	UNION SPRINGS CSD	2023	744	72	224319	3115.541667	18376087	18151768	24397.53763	301.5040323
51901040000	UNION SPRINGS CSD	2024	714	85	2315696	27243.48235	19691786.92	17376090.92	24336.26179	3243.271709
51901040000	UNION SPRINGS CSD	2025	709	101	2322668.73	22996.7201	19814328.98	17491660.25	24670.88893	3275.978463
