"","YEAR","ENTITY_CD","ENTITY_NAME","ASSESSMENT_NAME","SUBGROUP_NAME","TOTAL_COUNT","NOT_TESTED","PCT_NOT_TESTED","NUM_TESTED","PER_PROF","SEASON","COUNTY_DESC","ENTITY_TYPE","Prof_Count","NotProf_Count","Prof_Pct","NotProf_Pct","NotTested_Pct"
"33",2023,"000002000000","ALL Allegany Districts","ELA8","All Students",445,57,13,388,"48","Spring","ALLEGANY","COUNTY",187,201,42.0224719101124,45.1685393258427,12.8089887640449
"34",2023,"000002000000","ALL Allegany Districts","ELA4","All Students",394,14,4,380,"44","Spring","ALLEGANY","COUNTY",166,214,42.1319796954315,54.3147208121827,3.55329949238579
"35",2023,"000002000000","ALL Allegany Districts","ELA6","All Students",424,23,5,401,"37","Spring","ALLEGANY","COUNTY",150,251,35.377358490566,59.1981132075472,5.42452830188679
"36",2023,"000002000000","ALL Allegany Districts","ELA3_8","All Students",2521,162,6,2359,"41","Spring","ALLEGANY","COUNTY",975,1384,38.6751289170964,54.8988496628322,6.4260214200714
"37",2023,"000002000000","ALL Allegany Districts","ELA3","All Students",389,11,3,378,"42","Spring","ALLEGANY","COUNTY",157,221,40.3598971722365,56.8123393316195,2.82776349614396
"38",2023,"000002000000","ALL Allegany Districts","ELA5","All Students",425,15,4,410,"39","Spring","ALLEGANY","COUNTY",161,249,37.8823529411765,58.5882352941177,3.52941176470588
"39",2023,"000002000000","ALL Allegany Districts","ELA7","Economically Disadvantaged",237,30,13,207,"29","Spring","ALLEGANY","COUNTY",61,146,25.7383966244726,61.6033755274262,12.6582278481013
"40",2023,"000002000000","ALL Allegany Districts","ELA8","Economically Disadvantaged",244,36,15,208,"42","Spring","ALLEGANY","COUNTY",88,120,36.0655737704918,49.1803278688525,14.7540983606557
"41",2023,"000002000000","ALL Allegany Districts","ELA4","Economically Disadvantaged",232,9,4,223,"39","Spring","ALLEGANY","COUNTY",86,137,37.0689655172414,59.051724137931,3.87931034482759
"42",2023,"000002000000","ALL Allegany Districts","ELA6","Economically Disadvantaged",227,8,4,219,"30","Spring","ALLEGANY","COUNTY",66,153,29.0748898678414,67.4008810572687,3.52422907488987
"43",2023,"000002000000","ALL Allegany Districts","ELA3","Economically Disadvantaged",220,6,3,214,"34","Spring","ALLEGANY","COUNTY",73,141,33.1818181818182,64.0909090909091,2.72727272727273
"44",2023,"000002000000","ALL Allegany Districts","ELA5","Economically Disadvantaged",256,12,5,244,"33","Spring","ALLEGANY","COUNTY",81,163,31.640625,63.671875,4.6875
"45",2023,"000002000000","ALL Allegany Districts","ELA7","General Education Students",342,29,8,313,"48","Spring","ALLEGANY","COUNTY",150,163,43.859649122807,47.6608187134503,8.47953216374269
"46",2023,"000002000000","ALL Allegany Districts","ELA8","General Education Students",362,43,12,319,"56","Spring","ALLEGANY","COUNTY",178,141,49.171270718232,38.9502762430939,11.878453038674
"47",2023,"000002000000","ALL Allegany Districts","ELA4","General Education Students",314,7,2,307,"52","Spring","ALLEGANY","COUNTY",160,147,50.9554140127389,46.8152866242038,2.22929936305732
"48",2023,"000002000000","ALL Allegany Districts","ELA6","General Education Students",315,11,3,304,"48","Spring","ALLEGANY","COUNTY",145,159,46.031746031746,50.4761904761905,3.49206349206349
"49",2023,"000002000000","ALL Allegany Districts","ELA3","General Education Students",314,2,1,312,"46","Spring","ALLEGANY","COUNTY",143,169,45.5414012738853,53.8216560509554,0.636942675159236
"50",2023,"000002000000","ALL Allegany Districts","ELA5","General Education Students",349,12,3,337,"44","Spring","ALLEGANY","COUNTY",149,188,42.6934097421203,53.8681948424069,3.43839541547278
"51",2023,"000002000000","ALL Allegany Districts","ELA7","Not Economically Disadvantaged",207,12,6,195,"48","Spring","ALLEGANY","COUNTY",93,102,44.9275362318841,49.2753623188406,5.79710144927536
"52",2023,"000002000000","ALL Allegany Districts","ELA8","Not Economically Disadvantaged",201,21,10,180,"55","Spring","ALLEGANY","COUNTY",99,81,49.2537313432836,40.2985074626866,10.4477611940298
"53",2023,"000002000000","ALL Allegany Districts","ELA4","Not Economically Disadvantaged",162,5,3,157,"51","Spring","ALLEGANY","COUNTY",80,77,49.3827160493827,47.5308641975309,3.08641975308642
"54",2023,"000002000000","ALL Allegany Districts","ELA6","Not Economically Disadvantaged",197,15,8,182,"46","Spring","ALLEGANY","COUNTY",84,98,42.6395939086294,49.746192893401,7.61421319796954
"55",2023,"000002000000","ALL Allegany Districts","ELA3","Not Economically Disadvantaged",169,5,3,164,"51","Spring","ALLEGANY","COUNTY",84,80,49.7041420118343,47.3372781065089,2.9585798816568
"56",2023,"000002000000","ALL Allegany Districts","ELA5","Not Economically Disadvantaged",169,3,2,166,"48","Spring","ALLEGANY","COUNTY",80,86,47.3372781065089,50.887573964497,1.77514792899408
"57",2023,"000002000000","ALL Allegany Districts","ELA7","Students with Disabilities",102,13,13,89,"4","Spring","ALLEGANY","COUNTY",4,85,3.92156862745098,83.3333333333333,12.7450980392157
"58",2023,"000002000000","ALL Allegany Districts","ELA8","Students with Disabilities",83,14,17,69,"13","Spring","ALLEGANY","COUNTY",9,60,10.8433734939759,72.289156626506,16.8674698795181
"59",2023,"000002000000","ALL Allegany Districts","ELA4","Students with Disabilities",80,7,9,73,NA,"Spring","ALLEGANY","COUNTY",6,67,7.5,83.75,8.75
"60",2023,"000002000000","ALL Allegany Districts","ELA6","Students with Disabilities",109,12,11,97,"5","Spring","ALLEGANY","COUNTY",5,92,4.58715596330275,84.4036697247707,11.0091743119266
"61",2023,"000002000000","ALL Allegany Districts","ELA3","Students with Disabilities",75,9,12,66,"21","Spring","ALLEGANY","COUNTY",14,52,18.6666666666667,69.3333333333333,12
"62",2023,"000002000000","ALL Allegany Districts","ELA5","Students with Disabilities",76,3,4,73,"16","Spring","ALLEGANY","COUNTY",12,61,15.7894736842105,80.2631578947368,3.94736842105263
"63",2023,"000003000000","ALL Broome Districts","ELA7","All Students",1887,293,16,1594,"40","Spring","BROOME","COUNTY",644,950,34.1282458929518,50.344462109168,15.5272919978802
"64",2023,"000003000000","ALL Broome Districts","ELA8","All Students",1960,337,17,1623,"45","Spring","BROOME","COUNTY",736,887,37.5510204081633,45.2551020408163,17.1938775510204
"65",2023,"000003000000","ALL Broome Districts","ELA4","All Students",1863,123,7,1740,"41","Spring","BROOME","COUNTY",717,1023,38.4863123993559,54.9114331723027,6.60225442834138
"66",2023,"000003000000","ALL Broome Districts","ELA6","All Students",1875,166,9,1709,"41","Spring","BROOME","COUNTY",695,1014,37.0666666666667,54.08,8.85333333333333
"67",2023,"000003000000","ALL Broome Districts","ELA3_8","All Students",11441,1210,11,10231,"40","Spring","BROOME","COUNTY",4088,6143,35.7311423826589,53.6928590158203,10.5759986015208
"68",2023,"000003000000","ALL Broome Districts","ELA3","All Students",1964,138,7,1826,"37","Spring","BROOME","COUNTY",672,1154,34.2158859470468,58.7576374745417,7.02647657841141
"69",2023,"000003000000","ALL Broome Districts","ELA5","All Students",1892,153,8,1739,"36","Spring","BROOME","COUNTY",624,1115,32.9809725158562,58.9323467230444,8.08668076109937
