"","YEAR","ENTITY_CD","ENTITY_NAME","ASSESSMENT_NAME","SUBGROUP_NAME","TOTAL_COUNT","NOT_TESTED","PCT_NOT_TESTED","NUM_TESTED","PER_PROF","SEASON","COUNTY_DESC","ENTITY_TYPE","Prof_Count","NotProf_Count","Prof_Pct","NotProf_Pct","NotTested_Pct"
"1",2021,"111111111111","All NY Public Schools","ELA3","All Students",192560,99642,52,92918,"60","Spring","ALL NY STATE","COUNTY",56106,36812,29.1368923971749,19.1171582883257,51.7459493144994
"2",2021,"111111111111","All NY Public Schools","ELA3","General Education Students",152336,72544,48,79792,"65","Spring","ALL NY STATE","COUNTY",52151,27641,34.2341928368869,18.1447589538914,47.6210482092217
"3",2021,"111111111111","All NY Public Schools","ELA3","Students with Disabilities",40224,27098,67,13126,"30","Spring","ALL NY STATE","COUNTY",3955,9171,9.83243834526651,22.7998210023866,67.3677406523469
"4",2021,"111111111111","All NY Public Schools","ELA3","Economically Disadvantaged",110575,65899,60,44676,"45","Spring","ALL NY STATE","COUNTY",20053,24623,18.1352023513452,22.2681437938051,59.5966538548496
"5",2021,"111111111111","All NY Public Schools","ELA3","Not Economically Disadvantaged",81985,33743,41,48242,"75","Spring","ALL NY STATE","COUNTY",36053,12189,43.9751173995243,14.8673537842288,41.1575288162469
"6",2021,"000001000000","ALL Albany Districts","ELA3","All Students",2999,993,33,2006,"60","Spring","ALBANY","COUNTY",1208,798,40.2800933644548,26.6088696232077,33.1110370123374
"7",2021,"000001000000","ALL Albany Districts","ELA3","General Education Students",2564,818,32,1746,"64","Spring","ALBANY","COUNTY",1126,620,43.9157566302652,24.1809672386895,31.9032761310452
"8",2021,"000001000000","ALL Albany Districts","ELA3","Students with Disabilities",435,175,40,260,"32","Spring","ALBANY","COUNTY",82,178,18.8505747126437,40.9195402298851,40.2298850574713
"9",2021,"000001000000","ALL Albany Districts","ELA3","Economically Disadvantaged",1394,568,41,826,"43","Spring","ALBANY","COUNTY",353,473,25.3228120516499,33.9311334289813,40.7460545193687
"10",2021,"000001000000","ALL Albany Districts","ELA3","Not Economically Disadvantaged",1605,425,26,1180,"72","Spring","ALBANY","COUNTY",855,325,53.2710280373832,20.2492211838006,26.4797507788162
"11",2021,"000002000000","ALL Allegany Districts","ELA3","All Students",420,39,9,381,"56","Spring","ALLEGANY","COUNTY",214,167,50.9523809523809,39.7619047619048,9.28571428571429
"12",2021,"000002000000","ALL Allegany Districts","ELA3","General Education Students",354,30,8,324,"59","Spring","ALLEGANY","COUNTY",190,134,53.6723163841808,37.8531073446328,8.47457627118644
"13",2021,"000002000000","ALL Allegany Districts","ELA3","Students with Disabilities",66,9,14,57,"42","Spring","ALLEGANY","COUNTY",24,33,36.3636363636364,50,13.6363636363636
"14",2021,"000002000000","ALL Allegany Districts","ELA3","Economically Disadvantaged",247,26,11,221,"48","Spring","ALLEGANY","COUNTY",105,116,42.5101214574899,46.9635627530364,10.5263157894737
"15",2021,"000002000000","ALL Allegany Districts","ELA3","Not Economically Disadvantaged",173,13,8,160,"68","Spring","ALLEGANY","COUNTY",109,51,63.0057803468208,29.4797687861272,7.51445086705202
"16",2021,"000003000000","ALL Broome Districts","ELA3","All Students",1859,512,28,1347,"54","Spring","BROOME","COUNTY",733,614,39.4298009682625,33.0285099515869,27.5416890801506
"17",2021,"000003000000","ALL Broome Districts","ELA3","General Education Students",1572,412,26,1160,"59","Spring","BROOME","COUNTY",688,472,43.765903307888,30.0254452926209,26.2086513994911
"18",2021,"000003000000","ALL Broome Districts","ELA3","Students with Disabilities",287,100,35,187,"24","Spring","BROOME","COUNTY",45,142,15.6794425087108,49.4773519163763,34.8432055749129
"19",2021,"000003000000","ALL Broome Districts","ELA3","Economically Disadvantaged",1037,343,33,694,"39","Spring","BROOME","COUNTY",268,426,25.8437801350048,41.0800385728062,33.076181292189
"20",2021,"000003000000","ALL Broome Districts","ELA3","Not Economically Disadvantaged",822,169,21,653,"71","Spring","BROOME","COUNTY",465,188,56.5693430656934,22.8710462287105,20.5596107055961
"21",2021,"000004000000","ALL Cattaraugus Districts","ELA3","All Students",869,132,15,737,"54","Spring","CATTARAUGUS","COUNTY",396,341,45.5696202531646,39.2405063291139,15.1898734177215
"22",2021,"000004000000","ALL Cattaraugus Districts","ELA3","General Education Students",704,93,13,611,"61","Spring","CATTARAUGUS","COUNTY",371,240,52.6988636363636,34.0909090909091,13.2102272727273
"23",2021,"000004000000","ALL Cattaraugus Districts","ELA3","Students with Disabilities",165,39,24,126,"20","Spring","CATTARAUGUS","COUNTY",25,101,15.1515151515152,61.2121212121212,23.6363636363636
"24",2021,"000004000000","ALL Cattaraugus Districts","ELA3","Economically Disadvantaged",516,93,18,423,"48","Spring","CATTARAUGUS","COUNTY",201,222,38.953488372093,43.0232558139535,18.0232558139535
"25",2021,"000004000000","ALL Cattaraugus Districts","ELA3","Not Economically Disadvantaged",353,39,11,314,"62","Spring","CATTARAUGUS","COUNTY",195,119,55.2407932011331,33.7110481586402,11.0481586402266
"26",2021,"000005000000","ALL Cayuga Districts","ELA3","All Students",642,97,15,545,"49","Spring","CAYUGA","COUNTY",266,279,41.4330218068536,43.4579439252336,15.1090342679128
"27",2021,"000005000000","ALL Cayuga Districts","ELA3","General Education Students",531,68,13,463,"55","Spring","CAYUGA","COUNTY",253,210,47.6459510357815,39.5480225988701,12.8060263653484
"28",2021,"000005000000","ALL Cayuga Districts","ELA3","Students with Disabilities",111,29,26,82,"16","Spring","CAYUGA","COUNTY",13,69,11.7117117117117,62.1621621621622,26.1261261261261
"29",2021,"000005000000","ALL Cayuga Districts","ELA3","Economically Disadvantaged",351,66,19,285,"36","Spring","CAYUGA","COUNTY",102,183,29.0598290598291,52.1367521367521,18.8034188034188
"30",2021,"000005000000","ALL Cayuga Districts","ELA3","Not Economically Disadvantaged",291,31,11,260,"63","Spring","CAYUGA","COUNTY",164,96,56.3573883161512,32.9896907216495,10.6529209621993
"31",2021,"000006000000","ALL Chautauqua Districts","ELA3","All Students",1274,236,19,1038,"50","Spring","CHAUTAUQUA","COUNTY",518,520,40.6593406593407,40.8163265306122,18.5243328100471
"32",2021,"000006000000","ALL Chautauqua Districts","ELA3","General Education Students",1054,188,18,866,"56","Spring","CHAUTAUQUA","COUNTY",482,384,45.73055028463,36.4326375711575,17.8368121442125
"33",2021,"000006000000","ALL Chautauqua Districts","ELA3","Students with Disabilities",220,48,22,172,"21","Spring","CHAUTAUQUA","COUNTY",36,136,16.3636363636364,61.8181818181818,21.8181818181818
"34",2021,"000006000000","ALL Chautauqua Districts","ELA3","Economically Disadvantaged",799,165,21,634,"41","Spring","CHAUTAUQUA","COUNTY",261,373,32.665832290363,46.6833541927409,20.6508135168961
"35",2021,"000006000000","ALL Chautauqua Districts","ELA3","Not Economically Disadvantaged",475,71,15,404,"64","Spring","CHAUTAUQUA","COUNTY",257,147,54.1052631578947,30.9473684210526,14.9473684210526
"36",2021,"000007000000","ALL Chemung Districts","ELA3","All Students",853,205,24,648,"47","Spring","CHEMUNG","COUNTY",304,344,35.6389214536929,40.3282532239156,24.0328253223916
"37",2021,"000007000000","ALL Chemung Districts","ELA3","General Education Students",724,173,24,551,"52","Spring","CHEMUNG","COUNTY",286,265,39.5027624309392,36.6022099447514,23.8950276243094
"38",2021,"000007000000","ALL Chemung Districts","ELA3","Students with Disabilities",129,32,25,97,"19","Spring","CHEMUNG","COUNTY",18,79,13.953488372093,61.2403100775194,24.8062015503876
"39",2021,"000007000000","ALL Chemung Districts","ELA3","Economically Disadvantaged",501,153,31,348,"37","Spring","CHEMUNG","COUNTY",129,219,25.748502994012,43.7125748502994,30.5389221556886
"40",2021,"000007000000","ALL Chemung Districts","ELA3","Not Economically Disadvantaged",352,52,15,300,"58","Spring","CHEMUNG","COUNTY",175,125,49.7159090909091,35.5113636363636,14.7727272727273
"41",2021,"000008000000","ALL Chenango Districts","ELA3","All Students",522,108,21,414,"48","Spring","CHENANGO","COUNTY",198,216,37.9310344827586,41.3793103448276,20.6896551724138
"42",2021,"000008000000","ALL Chenango Districts","ELA3","General Education Students",447,91,20,356,"53","Spring","CHENANGO","COUNTY",188,168,42.0581655480984,37.5838926174497,20.3579418344519
"43",2021,"000008000000","ALL Chenango Districts","ELA3","Students with Disabilities",75,17,23,58,"17","Spring","CHENANGO","COUNTY",10,48,13.3333333333333,64,22.6666666666667
"44",2021,"000008000000","ALL Chenango Districts","ELA3","Economically Disadvantaged",316,73,23,243,"38","Spring","CHENANGO","COUNTY",93,150,29.4303797468354,47.4683544303797,23.1012658227848
"45",2021,"000008000000","ALL Chenango Districts","ELA3","Not Economically Disadvantaged",206,35,17,171,"61","Spring","CHENANGO","COUNTY",105,66,50.9708737864078,32.0388349514563,16.9902912621359
"46",2021,"000009000000","ALL Clinton Districts","ELA3","All Students",811,214,26,597,"61","Spring","CLINTON","COUNTY",363,234,44.7595561035758,28.8532675709001,26.387176325524
"47",2021,"000009000000","ALL Clinton Districts","ELA3","General Education Students",666,163,24,503,"67","Spring","CLINTON","COUNTY",335,168,50.3003003003003,25.2252252252252,24.4744744744745
"48",2021,"000009000000","ALL Clinton Districts","ELA3","Students with Disabilities",145,51,35,94,"30","Spring","CLINTON","COUNTY",28,66,19.3103448275862,45.5172413793103,35.1724137931034
"49",2021,"000009000000","ALL Clinton Districts","ELA3","Economically Disadvantaged",419,137,33,282,"52","Spring","CLINTON","COUNTY",146,136,34.8448687350835,32.4582338902148,32.6968973747017
"50",2021,"000009000000","ALL Clinton Districts","ELA3","Not Economically Disadvantaged",392,77,20,315,"69","Spring","CLINTON","COUNTY",217,98,55.3571428571429,25,19.6428571428571
