"","YEAR","ENTITY_CD","ENTITY_NAME","ASSESSMENT_NAME","SUBGROUP_NAME","TOTAL_COUNT","NOT_TESTED","PCT_NOT_TESTED","NUM_TESTED","LEVEL3_COUNT","LEVEL4_COUNT","PER_PROF","SEASON","COUNTY_DESC","ENTITY_TYPE","Prof_Count","NotProf_Count","Prof_Pct","NotProf_Pct","NotTested_Pct"
"187",2024,"000005000000","Cayuga County","ELA8","General Education Students",591,58,10,533,173,129,"57","Spring",NA,"COUNTY",302,231,51.0998307952623,39.0862944162437,9.81387478849408
"188",2024,"000005000000","Cayuga County","ELA7","General Education Students",541,22,4,519,171,55,"44","Spring",NA,"COUNTY",226,293,41.7744916820702,54.1589648798521,4.06654343807763
"189",2024,"000005000000","Cayuga County","ELA4","General Education Students",502,9,2,493,133,46,"36","Spring",NA,"COUNTY",179,314,35.6573705179283,62.5498007968127,1.79282868525896
"190",2024,"000005000000","Cayuga County","ELA6","General Education Students",517,24,5,493,149,50,"40","Spring",NA,"COUNTY",199,294,38.4912959381045,56.8665377176016,4.642166344294
"191",2024,"000005000000","Cayuga County","ELA3","General Education Students",469,11,2,458,127,30,"34","Spring",NA,"COUNTY",157,301,33.4754797441365,64.1791044776119,2.3454157782516
"192",2024,"000005000000","Cayuga County","ELA5","General Education Students",493,23,5,470,152,51,"43","Spring",NA,"COUNTY",203,267,41.1764705882353,54.158215010142,4.66531440162272
"193",2024,"000005000000","Cayuga County","ELA8","Non-English Language Learner",665,71,11,594,179,130,"52","Spring",NA,"COUNTY",309,285,46.4661654135338,42.8571428571429,10.6766917293233
"194",2024,"000005000000","Cayuga County","ELA7","Non-English Language Learner",667,54,8,613,NA,NA,NA,"Spring",NA,"COUNTY",NA,NA,NA,NA,8.095952023988
"195",2024,"000005000000","Cayuga County","ELA4","Non-English Language Learner",595,23,4,572,140,46,"33","Spring",NA,"COUNTY",186,386,31.2605042016807,64.8739495798319,3.86554621848739
"196",2024,"000005000000","Cayuga County","ELA6","Non-English Language Learner",634,41,6,593,150,51,"34","Spring",NA,"COUNTY",201,392,31.7034700315457,61.8296529968454,6.46687697160883
"197",2024,"000005000000","Cayuga County","ELA3","Non-English Language Learner",585,32,5,553,NA,NA,NA,"Spring",NA,"COUNTY",NA,NA,NA,NA,5.47008547008547
"198",2024,"000005000000","Cayuga County","ELA5","Non-English Language Learner",607,31,5,576,156,53,"36","Spring",NA,"COUNTY",209,367,34.4316309719934,60.4612850082372,5.10708401976936
"199",2024,"000005000000","Cayuga County","ELA8","Not Economically Disadvantaged",335,23,7,312,101,93,"62","Spring",NA,"COUNTY",194,118,57.910447761194,35.2238805970149,6.86567164179105
"200",2024,"000005000000","Cayuga County","ELA7","Not Economically Disadvantaged",183,12,7,171,69,34,"60","Spring",NA,"COUNTY",103,68,56.2841530054645,37.1584699453552,6.55737704918033
"201",2024,"000005000000","Cayuga County","ELA4","Not Economically Disadvantaged",279,9,3,270,80,33,"42","Spring",NA,"COUNTY",113,157,40.5017921146953,56.2724014336918,3.2258064516129
"202",2024,"000005000000","Cayuga County","ELA6","Not Economically Disadvantaged",285,13,5,272,85,39,"46","Spring",NA,"COUNTY",124,148,43.5087719298246,51.9298245614035,4.56140350877193
"203",2024,"000005000000","Cayuga County","ELA3","Not Economically Disadvantaged",250,6,2,244,81,22,"42","Spring",NA,"COUNTY",103,141,41.2,56.4,2.4
"204",2024,"000005000000","Cayuga County","ELA5","Not Economically Disadvantaged",278,17,6,261,99,37,"52","Spring",NA,"COUNTY",136,125,48.9208633093525,44.9640287769784,6.11510791366906
"205",2024,"000005000000","Cayuga County","ELA8","Students with Disabilities",90,18,20,72,6,2,"11","Spring",NA,"COUNTY",8,64,8.88888888888889,71.1111111111111,20
"206",2024,"000005000000","Cayuga County","ELA7","Students with Disabilities",130,33,25,97,6,1,"7","Spring",NA,"COUNTY",7,90,5.38461538461539,69.2307692307692,25.3846153846154
"207",2024,"000005000000","Cayuga County","ELA4","Students with Disabilities",108,17,16,91,8,1,"10","Spring",NA,"COUNTY",9,82,8.33333333333333,75.9259259259259,15.7407407407407
"208",2024,"000005000000","Cayuga County","ELA6","Students with Disabilities",126,19,15,107,2,1,"3","Spring",NA,"COUNTY",3,104,2.38095238095238,82.5396825396825,15.0793650793651
